image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.752596,car,car,True
drive_022,2,3,0.84876,car,car,True
drive_022,3,4,0.69789,car,car,True
drive_022,4,2,0.910717,bus,van,False
drive_022,5,5,0.863291,truck,bus,False
drive_033,1,11,0.876688,car,car,True
drive_033,2,8,0.761042,car,car,True
drive_033,3,10,0.837159,car,car,True
drive_033,4,6,0.733115,car,car,True
drive_033,5,7,0.903247,car,car,True
drive_033,6,5,0.885594,car,car,True
drive_033,12,3,0.886321,car,car,True
drive_033,13,4,0.8384,car,car,True
drive_033,14,9,0.866103,car,car,True
drive_033,19,2,0.84779,truck,bus,False
drive_033,20,1,0.983941,bus,van,False
drive_033,21,12,0.964591,bus,van,False
drive_038,1,3,0.9559,car,car,True
drive_038,2,2,0.935811,car,car,True
drive_038,3,5,0.885642,truck,bus,False
drive_038,4,15,0.916464,car,truck,False
drive_038,5,9,0.90138,truck,bus,False
drive_038,6,8,0.847393,car,car,True
drive_038,7,10,0.621119,car,car,True
drive_038,8,13,0.894327,car,car,True
drive_038,9,7,0.891371,car,car,True
drive_038,10,6,0.840214,car,car,True
drive_008,1,16,0.936105,car,car,True
drive_008,2,11,0.938614,car,car,True
drive_008,3,6,0.903048,car,car,True
drive_008,6,4,0.795596,car,car,True
drive_008,7,2,0.798288,car,car,True
drive_008,11,1,0.838657,truck,bus,False
drive_008,12,9,0.971865,bus,van,False
drive_008,15,12,0.877331,van,truck,False
drive_008,16,3,0.90419,van,truck,False
drive_008,17,5,0.614004,van,truck,False
